Cue,Growth Factor,Inhibitor,Experiment,Cell Viability in Comparison to Media Alone (24 Hr),Cell Viability in Comparison to Media Alone (StErr),p-AKT(S473)[15m],p-S6RIBPROT(S240/244)[15m],p-EGFR(Y1086)[05m],p-EGFR(Y1086)[15m],p-CDK2(T160)[15m],p-AKT(S473)[05m],p-STAT1(Y701)[05m],p-CDK2(T160)[05m],p-PDK1(S241)[15m],p-PKCPAN/G(T514)[05m],p-RAF(C-)(S338)[15m],p-PKCPAN/G(T514)[15m],p-PLCG2(Y759)[05m],p-PLCG2(Y759)[15m],p-P38MAPK(T180/Y182)[00m],p-EGFR(Y1068)[15m],p-RAF(C-)(S338)[05m],p-EGFR(Y845)[05m],p-MEK(1/2)(S217/221)[00m],p-GAB2(S159)[15m],p-MET(Y1234/1235)[05m],p-STAT1(Y701)[15m],p-GAB2(S159)[05m],p-PDK1(S241)[05m],p-EGFR(Y1068)[05m],p-ERK(T202/Y204)[05m],p-PDFGRA(Y849)[15m],p-EGFR(Y1173)[05m],p-FGFR1(Y653/654)[05m],p-PDFGRA(Y849)[05m],p-FAK(Y576/577)[15m],p-PLCG1(Y783)[05m],p-EGFR(Y845)[15m],p-PLCG1(Y783)[15m],p-GSK3A(S21)[05m],p-FOXO1(S319)[00m],p-MET(Y1234/1235)[15m],p-IGF1RB (Y1135/1136) [05m],p-PYK2(Y402)[05m],p-ERK(T202/Y204)[00m],p-KIT(C-)(Y719)[05m],p-STAT6(Y641)[15m],p-STAT6(Y641)[05m],p-MEK(1/2)(S217/221)[15m],p-PKCD(T505)[15m],p-SRC(Y416)[05m],p-EGFR(Y1173)[15m],p-S6RIBPROT(S240/244)[05m],p-FGFR1(Y653/654)[15m],p-GAB1(Y627)[00m],p-P38MAPK(T180/Y182)[05m],p-FOXO3A(S253)[05m],p-SAPK/JNK(T183/Y185)[00m],p-RAF(C-)(S259)[15m],p-SHP2(Y542)[05m],p-IGF1RB (Y1135/1136) [15m],p-CDK2(T160)[00m],p-PDGFRB(Y1009)[05m],p-FOXO3A(S253)[15m],p-KIT(C-)(Y719)[00m],p-FAK(Y576/577)[05m],p-IGF1RB (Y1135/1136) [00m],p-KIT(C-)(Y719)[15m],p-RAF(C-)(S259)[05m],p-ERBB4(Y1284)[15m],p-4EBP1(S65)[05m],p-MET(Y1349)[00m],p-ERBB4(Y1284)[05m],p-SYK(Y525/526)[05m],p-STAT3(Y705)[15m],p-SHP2(Y542)[15m],p-PKCD(T505)[05m],p-ERBB2(Y1221/1222)[05m],p-PTEN(S380)[00m],p-PDGFRB(Y1009)[00m],p-SRC(Y416)[15m],p-ZAP70(Y319)/SYK(Y352)[15m],p-FOXO1(S319)[05m],p-STAT1(Y701)[00m],p-MET(Y1349)[15m],p-GSK3A(S21)[15m],p-4EBP1(T37/46)[00m],p-STAT5(Y694)[05m],p-P70S6K(T421/S424)[05m],p-SYK(Y525/526)[00m],p-P70S6K(T421/S424)[00m],p-CRKII(Y221)[05m],p-SRC(Y416)[00m],p-CRKL(Y207)[00m],p-STAT5(Y694)[00m],p-FGFR1(Y653/654)[00m],p-P90RSK(S380)[15m],p-STAT3(Y705)[00m],p-4EBP1(S65)[00m],p-ERBB4(Y1284)[00m],p-CREB(S133)[05m],p-IRS1(S1101)[00m],p-JAK1(Y1022/1023)[00m],p-P90RSK(S380)[05m],p-SYK(Y525/526)[15m],p-PLCG1(Y783)[00m],p-CDC2(Y15)[05m],p-P90RSK(S380)[00m],p-PI3KP85(Y458)P55(Y199)[00m],p-CRKII(Y221)[00m],p-CRKII(Y221)[15m],p-GAB2(S159)[00m],p-SHC(Y239/240)[05m],p-SRC(Y527)[00m],p-IRS1(S1101)[05m],p-S6RIBPROT(S240/244)[00m],p-PYK2(Y402)[15m],p-ABL(C-)(Y245)[00m],p-PDGFRA(Y754)[15m],p-EGFR(Y1173)[00m],p-EGFR(Y845)[00m],p-ZAP70(Y319)/SYK(Y352)[05m],p-PTEN(S380)[15m],p-CREB(S133)[00m],p-SHP2(Y542)[00m],p-FOXO1(S319)[15m],p-PDGFRA(Y754)[05m],p-MTOR(S2448)[00m],p-ERBB2(Y1221/1222)[15m],p-PLCG2(Y759)[00m],p-PDGFRB(Y1009)[15m],p-FAK(Y576/577)[00m],p-GSK3A(S21)[00m],p-STAT3(S727)[05m],p-4EBP1(T37/46)[15m],p-PDGFRA(Y754)[00m],p-P38MAPK(T180/Y182)[15m],p-PKCPAN/G(T514)[00m],p-ZAP70(Y319)/SYK(Y352)[00m],p-ERK(T202/Y204)[15m],p-MET(Y1234/1235)[00m],p-MEK(1/2)(S217/221)[05m],p-RAF(C-)(S338)[00m],p-SAPK/JNK(T183/Y185)[15m],p-STAT3(S727)[00m],p-P70S6K(T421/S424)[15m],p-PDK1(S241)[00m],p-STAT3(S727)[15m],p-PTEN(S380)[05m],p-EGFR(Y1068)[00m],p-EGFR(Y1086)[00m],p-IRS1(S1101)[15m],p-PKCD(T505)[00m],p-PYK2(Y402)[00m],p-STAT3(Y705)[05m],p-4EBP1(T37/46)[05m],p-GAB1(Y627)[15m],p-CDC2(Y15)[00m],p-SHC(Y239/240)[00m],p-FOXO3A(S253)[00m],p-ERBB2(Y1221/1222)[00m],p-GAB1(Y627)[05m],p-AKT(S473)[00m],p-SRC(Y527)[15m],p-ABL(C-)(Y245)[15m],p-CRKL(Y207)[05m],p-4EBP1(S65)[15m],p-RAF(C-)(S259)[00m],p-SHC(Y239/240)[15m],p-JAK1(Y1022/1023)[05m],p-PDFGRA(Y849)[00m],p-MET(Y1349)[05m],p-SRC(Y527)[05m],p-SAPK/JNK(T183/Y185)[05m],p-MTOR(S2448)[05m],p-ABL(C-)(Y245)[05m],p-STAT6(Y641)[00m],p-PI3KP85(Y458)P55(Y199)[15m],p-JAK1(Y1022/1023)[15m],p-CRKL(Y207)[15m],p-STAT5(Y694)[15m],p-CDC2(Y15)[15m],p-CREB(S133)[15m],p-PI3KP85(Y458)P55(Y199)[05m],p-MTOR(S2448)[15m]
Media  X1,Media,, X1,1,0.0489,0.4579,0.4337,0.2191,0.1584,0.4136,0.3619,0.0657,0.3944,0.4214,0.3325,0.3628,0.4956,-0.0169,0.0424,-0.5872,0.0176,0.1339,0.1465,-0.3602,0.4469,0.1791,0.1699,0.3049,0.1353,0.0665,-0.4015,0.0338,0.3099,0.1067,0.0269,0.0783,0.0682,0.0534,0.0984,0.1136,-0.2593,0.1185,0.3478,-0.0183,-0.1936,-0.106,0.4312,0.1241,-0.4817,0.5151,-0.0439,0.099,0.1668,0.0939,-0.0845,-0.3691,0.0075,-0.179,0.2266,0.0571,0.677,0.1293,0.1429,0.2452,-0.1504,-0.0362,0.5175,-0.0834,-0.0164,0.1126,0.2634,0.0074,0.008,0.0228,0.1215,0.2077,0.1619,0.0756,-0.0687,0.1285,0.0476,0.4315,-0.2291,-0.0584,0.2281,0.4051,0.1179,-0.0832,0.1188,-0.1204,-0.0649,0.028,-0.0861,0.0689,-0.095,-0.0839,0.198,0.143,0.2975,0.0018,0.2702,0.1691,0.1553,0.1727,0.2928,0.106,0.0326,-0.0228,-0.1077,-0.0425,0.2923,0.3221,0.015,0.0081,0.124,-0.0758,-0.0473,0,0.5212,0.2581,0.1627,0.069,0.0895,0.0675,-0.0348,-0.0648,0.1707,0.021,0.2152,0.0209,0.1425,0.096,0.1107,-0.0177,-0.1168,0.3151,-0.2541,0.0994,0.2021,-0.3771,0.2077,-0.488,0.1151,0.116,0.1639,-0.0058,0.1772,0.1419,0.0918,0.2384,0.2409,0.3687,0.1423,-0.0308,0.0755,0.0657,0.2392,0.1536,0.0775,0.1878,0.1581,0.0237,0.1817,-0.0447,0,0.1277,0.1899,0.1161,0.2582,0.0851,0.1657,-0.0796,0.0393,-0.1106,-0.1018,0,0.1952,0.0812,0.5512,0.0242,0.038,0.1771,-0.1221,0.0599,0.0466
EGF200  X1,EGF200,, X1,0.3509,0.0388,0.5622,0.5574,0.9131,1.0124,0.4818,0.4329,0.2481,0.4089,0.3808,0.377,0.3875,0.6022,0.6654,0.5476,-0.5872,0.6536,0.213,0.8081,-0.3602,0.2833,0.8648,0.2106,0.2036,0.1399,0.5839,0.2608,0.4941,0.8363,0.4372,0.4372,0.1929,0.7006,0.6918,0.6022,0.2379,-0.2593,0.732,0.5322,0.2677,-0.1936,0.2332,0.5269,0.4148,-0.091,0.444,0.0034,0.7772,0.3889,0.3959,-0.0845,-0.2504,0.0928,-0.179,0.0909,0.3114,0.6335,0.1293,0.4472,0.2355,-0.1504,0.2054,0.5175,0.1782,-0.0493,0.0986,0.214,0.0074,0.0333,0.3916,0.3651,0.3412,0.2995,0.2095,-0.0687,0.1285,-0.0425,0.7539,-0.0995,-0.0584,0.2475,0.3758,0.1179,0.2241,0.1687,-0.1204,-0.0649,0.2589,-0.0861,0.0689,-0.095,-0.0839,0.2355,0.143,0.2975,0.0018,0.3657,0.1691,0.1553,0.2302,0.3719,0.106,0.0852,-0.0228,-0.1077,-0.0425,0.4508,0.3221,0.1119,0.0081,0.2336,-0.0758,0.1722,0,0.5333,0.2581,0.1627,0.4596,0.1355,0.0675,-0.0348,-0.1017,0.3362,0.021,0.2682,0.0209,0.412,0.096,0.1107,0.1621,-0.2603,0.3151,0.1389,0.0994,0.2021,0.1118,0.2077,0.2856,0.1151,0.1697,0.1639,0.1188,0.1772,0.0194,0.1107,0.2384,0.2409,0.388,0.1423,-0.0308,0.2501,0.082,0.2259,0.1536,0.0775,0.1878,0.1581,0.2198,0.1817,-0.0402,0,0.22,-0.0601,0.1161,0.3264,0.3527,0.1657,0.0904,0.0624,0.0528,-0.1169,0,0.1952,0.1718,0.5988,0.0673,0.1895,0.1131,0.1826,0.1761,0.0296
EGF200+Insulin200 X1,EGF200+Insulin200,,X1,0.33,0.0463,0.7634,0.6791,1.1132,1.3184,0.5831,0.6386,0.2494,0.5542,0.3064,0.6423,0.4786,0.7379,0.6182,0.8794,-0.5872,0.8113,0.4796,0.7719,-0.3602,0.3909,0.865,0.3352,0.3382,0.3737,0.7637,0.3292,0.6869,0.8566,0.4716,0.6182,0.3123,0.7,0.9389,0.8493,0.4133,-0.2593,1.0184,0.6406,0.2915,-0.1936,0.2218,0.5589,0.5226,0.1299,0.4263,-0.0416,0.9646,0.4679,0.6143,-0.0845,0.0471,0.2216,-0.179,0.1486,0.3649,0.6837,0.1293,0.4747,0.2845,-0.1504,0.3266,0.5175,0.2951,0.1314,0.1522,0.0656,0.0074,0.2025,0.4665,0.5078,0.4588,0.4297,0.2413,-0.0687,0.1285,-0.0126,0.958,0.0087,-0.0584,0.421,0.3462,0.1179,0.2332,0.2284,-0.1204,-0.0649,0.4674,-0.0861,0.0689,-0.095,-0.0839,0.3952,0.143,0.2975,0.0018,0.1618,0.1691,0.1553,0.285,0.5524,0.106,0.1652,-0.0228,-0.1077,-0.0425,0.542,0.3221,0.2665,0.0081,0.3676,-0.0758,0.4162,0,0.5457,0.2581,0.1627,0.6346,0.2716,0.0675,-0.0348,0.0092,0.4145,0.021,0.3115,0.0209,0.6456,0.096,0.1107,0.1415,-0.0979,0.3151,0.2186,0.0994,0.2021,0.1839,0.2077,0.3624,0.1151,0.2469,0.1639,0.2402,0.1772,0.0073,0.1126,0.2384,0.2409,0.3925,0.1423,-0.0308,0.3813,-0.1306,0.4767,0.1536,0.0775,0.1878,0.1581,0.3413,0.1817,0.0906,0,0.1712,0.0433,0.1161,0.3006,0.5622,0.1657,0.2497,0.0067,0.1227,0.046,0,0.1952,0.3046,0.6115,0.223,0.3873,0.1358,0.3185,0.235,0.0596
HGF200  X1,HGF200,, X1,0.9196,0.0938,0.8478,0.5387,0.2182,-0.0246,0.6127,0.8766,0.0708,0.5381,0.3527,0.6505,0.7026,0.7134,-0.0213,0.0194,-0.5872,-0.4452,0.7457,-0.0579,-0.3602,0.4359,0.0744,0.1795,0.6749,0.62,-0.0194,0.5687,-0.1645,-0.0563,0.008,0.1256,-0.181,-0.0352,0.025,0.0641,0.7276,-0.2593,0.1278,0.6844,0.0153,-0.1936,-0.115,0.3996,0.6223,0.2067,0.3394,-0.0766,-0.1558,0.432,0.15,-0.0845,0.2993,0.4873,-0.179,0.1519,0.1816,0.5933,0.1293,0.1071,0.2121,-0.1504,0.1228,0.5175,-0.0507,0.39,-0.062,0.2993,0.0074,0.1131,0.1827,-0.0015,0.3545,0.5163,0.2887,-0.0687,0.1285,-0.0465,0.2425,0.028,-0.0584,0.3034,0.4466,0.1179,0.0327,0.3343,-0.1204,-0.0649,0.6057,-0.0861,0.0689,-0.095,-0.0839,0.4522,0.143,0.2975,0.0018,0.3361,0.1691,0.1553,0.501,0.3266,0.106,0.3248,-0.0228,-0.1077,-0.0425,0.341,0.3221,0.3281,0.0081,0.4374,-0.0758,0.0819,0,0.3815,0.2581,0.1627,0.4729,0.2219,0.0675,-0.0348,0.0008,0.5043,0.021,0.06,0.0209,0.2748,0.096,0.1107,0.2267,-0.0797,0.3151,-0.0327,0.0994,0.2021,0.2263,0.2077,0.4092,0.1151,0.1199,0.1639,0.293,0.1772,-0.0859,0.0979,0.2384,0.2409,0.2084,0.1423,-0.0308,0.144,-0.01,0.4687,0.1536,0.0775,0.1878,0.1581,0.1156,0.1817,0.0776,0,0.2029,0.0813,0.1161,0.164,0.5493,0.1657,0.5142,0.0827,0.0238,0.0933,0,0.1952,0.3018,0.4609,0.1706,0.1616,0.0269,0.2554,0.2457,-0.1428
HGF200+Insulin200 X1,HGF200+Insulin200,,X1,1.1047,0.0151,0.8241,0.5588,0.2269,0.0822,0.5386,0.8442,0.0398,0.5877,0.3356,0.6694,0.6696,0.4906,0.0043,-0.059,-0.5872,-0.228,0.7764,-0.0066,-0.3602,0.7268,0.0669,0.077,0.6409,0.5103,0.0385,0.6282,-0.1554,-0.0857,0.0871,0.2297,-0.151,0.018,-0.0349,0.0327,0.7201,-0.2593,0.1255,0.7397,-0.0281,-0.1936,-0.0578,0.4028,0.5855,0.2307,0.323,0.0889,0.0873,0.52,0.0486,-0.0845,0.3057,0.4612,-0.179,0.1894,0.1982,0.6194,0.1293,0.1486,0.2248,-0.1504,0.1934,0.5175,-0.1312,0.4669,-0.0979,0.4017,0.0074,0.1023,0.244,-0.0794,0.2233,0.6594,0.3282,-0.0687,0.1285,-0.0736,0.3634,0.0094,-0.0584,0.2614,0.5155,0.1179,0.0525,0.2856,-0.1204,-0.0649,0.652,-0.0861,0.0689,-0.095,-0.0839,0.4308,0.143,0.2975,0.0018,0.2356,0.1691,0.1553,0.4738,0.1513,0.106,0.3615,-0.0228,-0.1077,-0.0425,0.3384,0.3221,0.3422,0.0081,0.5089,-0.0758,0.0581,0,0.4566,0.2581,0.1627,0.5509,0.1946,0.0675,-0.0348,-0.0665,0.593,0.021,0.1013,0.0209,0.1835,0.096,0.1107,0.3124,0.1365,0.3151,0.0366,0.0994,0.2021,0.3191,0.2077,0.4284,0.1151,0.0736,0.1639,0.2845,0.1772,0.0045,0.0411,0.2384,0.2409,0.1547,0.1423,-0.0308,0.2436,-0.0052,0.2884,0.1536,0.0775,0.1878,0.1581,0.2323,0.1817,0.0909,0,0.1727,0.3228,0.1161,0.1108,0.5925,0.1657,0.5467,0.0442,0.0492,0.1791,0,0.1952,0.2046,0.3116,0.2588,0.0654,0.1435,0.4323,0.273,-0.0754
Insulin200  X1,Insulin200,, X1,0.7016,0.0179,0.6406,0.5353,0.1853,0.0416,0.5157,0.7643,-0.0175,0.5067,0.3917,0.544,0.7003,0.5664,-0.064,-0.1117,-0.5872,-0.237,0.6379,-0.0822,-0.3602,0.651,-0.0949,0.0515,0.6655,0.5824,0.0289,0.2576,-0.1005,-0.118,-0.0124,0.1276,-0.1183,-0.0112,-0.0598,-0.0204,0.723,-0.2593,0.0208,0.784,0.0003,-0.1936,-0.1258,0.4397,0.5516,-0.5215,0.4059,-0.0361,0.0059,0.3864,0.0954,-0.0845,0.3465,0.4706,-0.179,0.2652,0.0976,0.6421,0.1293,0.1185,0.2283,-0.1504,0.1034,0.5175,-0.2253,0.4728,-0.0247,0.3526,0.0074,0.1488,0.2879,0.0602,0.2061,0.594,0.3241,-0.0687,0.1285,-0.0014,0.4038,-0.0016,-0.0584,0.1302,0.3848,0.1179,-0.0489,0.1871,-0.1204,-0.0649,0.6241,-0.0861,0.0689,-0.095,-0.0839,0.2304,0.143,0.2975,0.0018,0.3819,0.1691,0.1553,0.4143,0.1299,0.106,0.3278,-0.0228,-0.1077,-0.0425,0.2673,0.3221,0.2743,0.0081,0.4442,-0.0758,-0.0154,0,0.4328,0.2581,0.1627,0.5828,0.3015,0.0675,-0.0348,-0.1378,0.5767,0.021,0.0684,0.0209,0.2,0.096,0.1107,0.305,0.0081,0.3151,-0.2261,0.0994,0.2021,-0.551,0.2077,0.0358,0.1151,-0.0269,0.1639,0.0949,0.1772,0.108,-0.0132,0.2384,0.2409,0.2242,0.1423,-0.0308,0.2105,0.0113,0.2225,0.1536,0.0775,0.1878,0.1581,0.1251,0.1817,0.0631,0,0.1758,0.2331,0.1161,0.1488,0.5643,0.1657,0.2629,0.0462,0.0782,0.153,0,0.1952,0.2196,0.3765,0.1084,0.087,0.0366,0.1343,0.1768,-0.1452
IGF200  X1,IGF200,, X1,0.7885,0.0741,0.9168,0.5827,0.086,0.1936,0.6643,0.8238,0.0894,0.5886,0.4853,0.6746,0.4334,0.6461,-0.0483,-0.0071,-0.5872,-0.1631,0.6235,-0.0496,-0.3602,0.7242,-0.0447,0.1643,0.6048,0.537,-0.2133,0.101,0.0746,-0.1341,0.4284,0.0263,0.0406,-0.0128,-0.0057,0.0302,0.5727,-0.2593,0.0808,1.2666,0.0124,-0.1936,-0.1719,0.5871,0.4948,-0.3237,0.5913,0.0208,-0.0141,0.4917,0.3973,-0.0845,0.1634,0.3914,-0.179,0.4127,0.1864,1.2687,0.1293,0.1573,0.3927,-0.1504,0.0749,0.5175,-0.1654,0.3895,0.1211,0.1962,0.0074,0.0555,0.2846,0.1781,0.2556,0.4958,0.2261,-0.0687,0.1285,0.0626,0.595,0.033,-0.0584,0.2974,0.5642,0.1179,0.0766,0.1864,-0.1204,-0.0649,0.4611,-0.0861,0.0689,-0.095,-0.0839,0.425,0.143,0.2975,0.0018,0.2774,0.1691,0.1553,0.3888,0.0786,0.106,0.199,-0.0228,-0.1077,-0.0425,0.4829,0.3221,0.2532,0.0081,0.3845,-0.0758,0.0584,0,0.5492,0.2581,0.1627,0.4661,0.2062,0.0675,-0.0348,0.0284,0.5301,0.021,0.1621,0.0209,0.2754,0.096,0.1107,0.2336,0.0494,0.3151,0.0094,0.0994,0.2021,-0.2338,0.2077,0.0019,0.1151,-0.0009,0.1639,0.1503,0.1772,0.2875,0.1392,0.2384,0.2409,0.3806,0.1423,-0.0308,0.1226,-0.0511,0.2511,0.1536,0.0775,0.1878,0.1581,0.1574,0.1817,0.0737,0,0.143,0.2939,0.1161,0.2086,0.5679,0.1657,0.2165,0.0489,0.1155,0.0525,0,0.1952,0.2638,0.3787,0.185,0.1022,0.1745,0.0962,0.2168,0.0729
Media  X2,Media,, X2,1,0.0368,0.3453,0.4025,0.0407,0.0661,0.1218,0.3875,0.0261,0.0872,0.1347,0.0994,0.0686,0.0969,0.0488,-0.0405,-0.0672,0.1545,-0.02,-0.1423,-0.0672,0.2864,-0.0214,-0.0001,0.1982,0.1174,-0.0076,0.523,0,0.1588,-0.0107,0,0.0086,0.1365,0.0054,0.0284,0.1562,0.0311,0.0513,0.1194,0.2563,0.0748,0.1,0.0208,0.0066,-0.0892,0,-0.0692,0.1272,0.1218,0.0242,-0.0089,0.2389,0.0177,0.0189,0.189,0.0108,0.0012,-0.009,0.017,0.2491,0.0383,-0.0319,0.0385,0.0285,-0.1014,-0.0305,0.2682,-0.2125,-0.1632,0.1893,0.1534,0.0405,0,-0.1568,0.0284,-0.0045,0.0979,-0.0866,0.0594,0.0124,0.6484,0.0671,0.0038,0.0402,0.1066,0.0134,0.0335,0,-0.0138,-0.0555,0.0122,0.007,0.0134,-0.0001,-0.028,-0.0004,0.1721,-0.1389,-0.0626,0.0903,0.0832,0.0041,0.0088,0.0151,0.0175,0,0,0.0197,0.1198,-0.0394,-0.0479,-0.1301,0.1696,0,0.0408,0.0493,0.0145,-0.2561,0.0626,0.0966,-0.0384,-0.0562,0.0194,-0.0873,-0.1672,0.0016,-0.0168,-0.1107,-0.0302,0.0523,0.3238,0.012,0.0481,0.0266,-0.0548,0.131,0.005,0.3389,0.0396,-0.0727,0.0009,0.0285,0.0312,-0.0322,0.0597,0.0918,0.004,0.0112,0,0.0693,0.0833,0.3505,0.1705,-0.0175,0.0211,-0.0123,-0.1454,0.0856,-0.0667,0.0873,0,0.1527,0.1312,-0.176,0.124,-0.0255,0,0.2954,0.0654,0.0952,-0.0179,0,-0.0153,0.0136,0.0833,-0.0154,-0.0225,-0.1495,0.0079,0.0672,0.1134
EGF200  X2,EGF200,, X2,0.3288,0.0818,0.6146,0.4128,1.5909,1.7447,0.1722,0.393,0.9187,0.0829,0.1479,0.1282,0.0637,0.2038,0.7766,0.7757,-0.0672,1.52,-0.0346,0.9133,-0.0672,0.4327,0.9049,0.7816,0.2264,0.0977,1.43,0.8281,0,0.9221,0.6289,0,0.145,0.653,0.8935,0.6376,0.2561,0.0311,0.95,0.256,0.6293,0.0748,0.4073,0.8281,0.6961,0.2128,0,0.871,0.9152,0.0438,0.7062,-0.0089,0.3932,0.0897,0.0189,0.3492,0.6702,0.4235,-0.009,0.3973,0.4323,0.0383,0.0309,0.0385,0.4203,-0.0478,0.1652,0.2552,-0.2125,-0.1102,0.782,0.4401,0.7079,0,0.0861,0.0284,-0.0045,0.9513,0.5401,0.0691,0.0124,1.021,0.3014,0.0038,0.2389,0.1572,0.0134,0.0335,0,-0.0138,-0.0555,0.0122,0.007,0.1333,-0.0001,-0.028,-0.0004,0.2339,-0.1389,-0.0626,0.1549,0.6595,0.0041,0.1114,0.0151,0.0175,0,0,0.0197,0.3606,-0.0394,0.0503,-0.1301,0.5683,0,0.745,0.0493,0.0145,0.1894,0.1619,0.0966,-0.0384,0.0241,0.4517,-0.0873,0.1675,0.0016,0.4965,-0.1107,-0.0302,0.0516,0.4174,0.012,0.3213,0.0266,-0.0548,0.5883,0.005,0.5928,0.0396,0.0548,0.0009,0.1262,0.0312,0.1359,0.1109,0.0918,0.004,0.1265,0,0.0693,0.2008,0.3392,0.5246,-0.0175,0.0211,-0.0123,-0.1454,0.5007,-0.0667,0.1982,0,0.2577,0.1366,-0.176,0.572,0.1554,0,0.55,0.1142,0.1448,0.0732,0,-0.0153,0.1923,0.332,0.1367,0.3098,0.3209,0.1282,0.2879,0.3949
EGF200 PP2 X2,EGF200,PP2,PP2 X2,0.9727,0.1053,0.2151,-0.1269,0.8671,0.9976,0.1107,0.0253,0.2098,0.1275,0.1091,0.1016,0.0411,0.0435,0.3321,0.2447,-0.5232,1.1104,-0.0323,0.4572,-0.2093,0.1925,0.6086,0.102,0.1676,0.1745,0.8464,0.4708,0,0.7509,0.2795,0,-0.0333,0.4404,0.3785,0.3311,0.0542,0.0112,0.5382,0.18,0.3386,-0.1925,0.2125,0.2563,0.2582,0.1251,0,0.5343,0.7755,-0.2989,0.2616,-0.0902,0.0473,0.1045,-0.0216,0.2118,0.2878,0.1109,-0.0225,0.0857,0.2249,0.0282,0.0387,0.1274,0.1448,-0.014,-0.0979,0.0715,-0.1919,-0.1884,0.469,0.1774,0.2302,0,-0.1098,0.0011,-0.1058,0.4976,0.1174,0.0617,-0.0471,0.8773,0.0289,-0.259,0.0664,0.1243,0.0074,0.0059,0,-0.0939,-0.2723,-0.02,-0.0467,-0.004,-0.0104,-0.2397,-0.0432,0.0908,-0.182,-0.1031,0.0546,0.3077,-0.0305,0.0828,-0.0457,-0.0396,0,0,0.08,0.1749,-0.1675,0.0738,-0.4659,0.2425,0,0.0488,0.0854,-0.286,-0.2047,0.1284,-0.046,-0.0612,-0.0231,0.1596,-0.0904,-0.2073,-0.0358,0.0476,-0.0375,-0.0982,0.0951,-0.07,0.0465,-0.0525,0.0175,0.1267,0.3971,-0.0094,0.2865,0.0013,-0.0593,0.0309,0.0362,0.0497,0.0057,0.0581,0.1573,-0.0675,0.0288,0,0.105,0.126,-0.0855,0.3658,-0.0483,-0.0752,-0.0363,-0.1819,0.3495,-0.3633,0.0468,0,0.0844,-0.0565,-0.1008,0.3028,0.0601,0,0.1905,0.0213,0.0617,0.0906,0,-0.0514,-0.0631,0.0064,-0.0151,0.003,-0.0098,0,0.1268,0.1783
EGF200 U73122 X2,EGF200,U73122,U73122 X2,0.1514,0.0044,0.2812,0.0935,1.0671,1.1831,0.0612,-0.0103,0.6735,0.0555,0.1995,0.1105,0.0206,0.0463,0.4801,0.4329,-0.0305,1.1448,-0.0067,0.6477,0.0181,0.2781,0.7041,0.542,0.2186,0.1288,1.1384,0.4567,0,0.8124,0.4181,0,0.026,0.4775,0.5845,0.4295,-0.0136,0.0695,0.6716,0.2035,0.4885,0.1147,0.2427,0.4811,0.4398,0.0885,0,0.5815,0.8328,-0.1591,0.4206,0.0885,0.1706,0.1846,0.0759,0.2121,0.4031,0.2149,0.0522,0.2135,0.282,0.0939,0.0743,0.1864,0.1854,0.0163,-0.0144,0.0255,-0.2764,-0.0303,0.5983,0.2114,0.3822,0,-0.0877,0.0478,-0.0038,0.5488,0.3023,0.0699,0.0369,1.0136,0.131,-0.0977,0.1797,0.1552,0.08,0.0804,0,0.0139,0.0481,0.0381,0.0798,0.0687,-0.0088,-0.0899,-0.151,0.1501,-0.192,-0.0672,0.1035,0.4096,0.0664,0.1087,0.0536,0.0921,0,0,0.0897,0.3351,0.0124,0.1325,-0.3627,0.3928,0,0.3305,0.1381,0.0675,0.1217,0.1139,0.0416,0.0143,0.0087,0.4337,-0.0977,-0.0327,0.0421,0.2103,-0.0812,0.0217,0.0848,0.1494,-0.0058,0.4452,0.084,-0.0708,0.3756,0.054,0.1152,-0.0171,0.1248,0.0292,0.0851,0.0605,0.0507,0.0457,0.1343,-0.0792,0.1067,0,0.2423,0.2276,0.1367,0.3693,0.0103,0.0518,-0.0409,-0.1643,0.3963,0.0653,0.0626,0,0.1707,0.1278,-0.199,0.4192,0.2451,0,0.3791,0.0994,0.1339,0.186,0,-0.0141,0.0715,0.1154,0.1157,0.1271,0.1144,0.1456,0.2623,0.2363
